Ordem;Contrato;Família;Item ;Descrição ;Dt Requisição;Requisição;Requisitante;Dt Aprov Requis;Dt Ordem;Dt Pedido;Pedido  ;Ped Emerg.;Prazo Entrega;Dt Nota Fiscal;Dt Rec. Físico  ;Comprador   ;Qtde;Valor ;Fornecedor   ;Cond Pagto;Grupo de Estoque;Unid Medida;Tipo de Material;Situação do Item;Tipo Controle do Item;Departamento;Nro Ordem Investimento
  8080.66;0;164;1640176;PRIMEIRO MANGOTE DESENHO 523F-42-4002                       ;;;0;18/06/2015;04/01/2016;05/01/2016;4.215;Não;30;28/01/2016;09/02/2016;1951319;1;1.547,15;506;28 - 28 ;85;PC;Material;Ativo   ;Total   ;0;
  8080.67;0;748;7480017;EMENDA CONTRATIL 15KV TW5551T 3M                            ;;;0;18/06/2015;04/01/2016;05/01/2016;4.214;Não;30;07/01/2016;22/01/2016;1951319;2;1.657,84;470;9 - 30 D;10;JG;Material;Ativo   ;Total   ;0;
  8080.68;0;818;8180048;CHUMBADOR EXPANSIVO (SWELLEX)                               ;;;0;18/06/2015;04/01/2016;07/01/2016;4.241;Não;40;29/01/2016;03/02/2016;1951319;2.400,00;49,85;1797;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8080.68;0;818;8180048;CHUMBADOR EXPANSIVO (SWELLEX)                               ;;;0;18/06/2015;04/01/2016;07/01/2016;4.241;Não;40;29/01/2016;03/02/2016;1951319;2.400,00;49,85;1797;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8080.70;0;890;8900085;CORREIA 8V1800 GOODYEAR                                     ;;;0;18/06/2015;04/01/2016;05/01/2016;4.224;Não;15;06/01/2016;11/01/2016;1951319;4;215;24052;9 - 30 D;10;PA;Material;Ativo   ;Total   ;0;
  2604.57;0;996;9961717;TUBOS E CONEXOES DE ACO                                     ;17/12/2015;1999982;13.161;22/12/2015;04/01/2016;05/01/2016;4.225;Não;20;03/02/2016;15/02/2016;1951319;1;4.450,00;24129;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.58;0;996;9960239;ANEL ORING                                                  ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;100;18/03/2016;05/04/2016;1951319;2;31,8492;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.59;0;996;9960533;BORNE                                                       ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;2;1.751,67;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.60;0;996;9960239;ANEL ORING                                                  ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;1;3,8988;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.61;0;996;9960239;ANEL ORING                                                  ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;1;7,8732;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.62;0;996;9960239;ANEL ORING                                                  ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;2;28,0476;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.63;0;996;9960239;ANEL ORING                                                  ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;2;3,8988;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.64;0;996;9960239;ANEL ORING                                                  ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;2;61,0308;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.65;0;996;9960239;ANEL ORING                                                  ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;2;11,8584;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.66;0;996;9960029;ROLAMENTOS DE ALTA PRECISÃO                                 ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;1;107,016;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.67;0;996;9960029;ROLAMENTOS DE ALTA PRECISÃO                                 ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;1;108,1024;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.68;0;996;9960415;SUPORTE                                                     ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;1;31,647;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.69;0;996;9962767;SELO MECANICO                                               ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;2;570,779;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.70;0;996;9960415;SUPORTE                                                     ;24/12/2015;1950962;13.539;29/12/2015;04/01/2016;08/01/2016;4.248;Não;30;13/01/2016;26/01/2016;1951319;1;6.095,41;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  2604.71;0;996;9962571;KIT REPARO                                                  ;24/12/2015;1950962;13.543;29/12/2015;04/01/2016;08/01/2016;4.248;Não;100;18/03/2016;05/04/2016;1951319;1;5.960,90;8151;9 - 30 D;99;PC;Material;Ativo   ;Débito D;0;
  8080.71;0;134;1340007;GAS CLOROFLUORCARBONO                                       ;;;0;18/06/2015;04/01/2016;04/01/2016;4.205;Não;15;04/01/2016;05/01/2016;1951319;68;30,8;9671;28 - 28 ;10;KG;Material;Ativo   ;Total   ;0;
  8080.72;0;134;1340001;ACETILENO GAS 9KG                                           ;;;0;18/06/2015;04/01/2016;04/01/2016;4.206;Não;15;05/01/2016;05/01/2016;1951319;81;40;24854;9 - 30 D;10;KG;Material;Ativo   ;Total   ;0;
  8080.73;0;134;1340002;ACETILENO GAS 1KG                                           ;;;0;18/06/2015;04/01/2016;04/01/2016;4.206;Não;15;05/01/2016;05/01/2016;1951319;2;75;24854;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8080.74;0;134;1340011;GAS OXIGENIO 10M³                                           ;;;0;18/06/2015;04/01/2016;04/01/2016;4.206;Não;15;05/01/2016;05/01/2016;1951319;140;10;24854;9 - 30 D;10;M3;Material;Ativo   ;Total   ;0;
  8080.75;0;134;1340015;GAS OXIGENIO 1M³                                            ;;;0;18/06/2015;04/01/2016;04/01/2016;4.206;Não;15;05/01/2016;05/01/2016;1951319;1;50;24854;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
